city,area,rooms,bathroom,parking spaces,animal,furniture,hoa (R$),rent amount (R$),property tax (R$),fire insurance (R$)
Belo Horizonte,64,3,1,0,not acept,not furnished,215,1400,27,19
Belo Horizonte,51,2,1,1,acept,not furnished,260,700,27,10
Belo Horizonte,28,1,1,0,not acept,furnished,550,1100,0,15
Belo Horizonte,115,3,2,2,acept,not furnished,450,1950,133,26
Belo Horizonte,125,4,2,2,not acept,not furnished,1100,2100,267,28
Belo Horizonte,175,3,3,2,acept,furnished,400,3700,205,50
Belo Horizonte,154,3,2,1,acept,not furnished,300,2000,159,27
Belo Horizonte,70,2,2,2,not acept,not furnished,300,1450,94,20
Belo Horizonte,140,4,2,2,acept,not furnished,450,2281,221,31
Belo Horizonte,52,2,2,1,not acept,not furnished,360,1650,86,22
Belo Horizonte,60,3,1,1,acept,not furnished,348,950,63,13
Belo Horizonte,27,1,1,0,not acept,not furnished,0,1167,334,16
Belo Horizonte,154,4,2,2,acept,not furnished,1465,2800,305,38
Belo Horizonte,148,3,3,2,acept,furnished,284,2500,104,34
Belo Horizonte,72,2,2,1,acept,not furnished,0,1250,66,21
Belo Horizonte,59,2,2,0,not acept,furnished,510,1400,112,19
Belo Horizonte,64,2,1,1,acept,not furnished,252,850,78,12
Belo Horizonte,30,1,1,0,not acept,not furnished,0,550,0,8
Belo Horizonte,100,3,1,1,acept,not furnished,150,1200,0,16
Belo Horizonte,100,2,1,0,acept,not furnished,0,1200,63,20
Belo Horizonte,113,3,3,1,acept,not furnished,350,1100,88,15
Belo Horizonte,80,3,2,1,acept,not furnished,305,1200,122,16
Belo Horizonte,72,2,1,2,not acept,not furnished,195,1300,97,18
Belo Horizonte,42,2,1,1,acept,not furnished,170,900,27,12
Belo Horizonte,150,4,3,3,not acept,not furnished,1200,3300,293,44
Belo Horizonte,310,4,3,6,acept,not furnished,0,3100,187,51
Belo Horizonte,70,3,1,0,not acept,not furnished,275,1200,104,16
Belo Horizonte,58,2,2,1,acept,not furnished,310,950,86,13
Belo Horizonte,350,7,5,4,acept,not furnished,0,7500,357,123
Belo Horizonte,211,3,4,3,not acept,not furnished,0,8400,292,138
Belo Horizonte,68,2,2,1,acept,furnished,1183,2500,207,34
Belo Horizonte,100,4,2,3,acept,not furnished,1027,2600,238,35
Belo Horizonte,134,4,2,3,not acept,not furnished,650,3000,313,40
Belo Horizonte,112,2,3,2,acept,not furnished,442,1400,92,19
Belo Horizonte,55,2,1,1,acept,not furnished,200,1050,0,14
Belo Horizonte,92,3,2,1,acept,not furnished,268,1800,141,24
Belo Horizonte,100,3,1,1,acept,not furnished,300,1500,85,20
Belo Horizonte,62,3,2,1,not acept,not furnished,230,1100,63,15
Belo Horizonte,73,2,1,2,acept,not furnished,150,1200,62,16
Belo Horizonte,85,2,1,1,acept,not furnished,230,1000,61,14
Belo Horizonte,55,2,1,1,not acept,not furnished,250,1200,67,16
Belo Horizonte,132,3,3,2,acept,not furnished,0,1500,207,20
Belo Horizonte,53,2,1,0,acept,not furnished,626,850,76,12
Belo Horizonte,67,2,2,2,not acept,not furnished,850,2800,0,38
Belo Horizonte,270,5,4,6,acept,not furnished,0,3910,125,53
Belo Horizonte,40,1,1,0,not acept,not furnished,0,650,59,11
Belo Horizonte,65,2,2,3,acept,not furnished,366,1450,110,20
Belo Horizonte,80,3,2,2,acept,furnished,280,2500,126,34
Belo Horizonte,90,2,1,0,acept,not furnished,0,1000,39,14
Belo Horizonte,45,1,1,1,not acept,furnished,1550,3400,198,46
Belo Horizonte,190,4,2,0,acept,not furnished,1000,5580,417,75
Belo Horizonte,270,4,3,2,acept,not furnished,1200,4800,241,64
Belo Horizonte,140,4,3,1,acept,not furnished,475,2300,167,31
Belo Horizonte,32,1,1,1,acept,not furnished,197,1500,126,20
Belo Horizonte,160,4,3,2,acept,not furnished,763,2300,230,31
Belo Horizonte,70,2,1,1,acept,not furnished,897,1300,125,18
Belo Horizonte,70,2,1,2,not acept,not furnished,80,1200,97,16
Belo Horizonte,140,3,2,0,not acept,not furnished,0,3000,202,40
Belo Horizonte,160,4,2,5,acept,furnished,0,3780,167,62
